64,192,53,1,0,0:0:0:0:
64,192,807,1,0,0:0:0:0:
448,192,1594,1,0,0:0:0:0:
64,192,1851,1,0,0:0:0:0:
448,192,1851,1,0,0:0:0:0:
192,192,1937,1,0,0:0:0:0:
448,192,2404,1,0,0:0:0:0:
320,192,3192,1,0,0:0:0:0:
64,192,3386,1,0,0:0:0:0:
320,192,3386,1,0,0:0:0:0:
320,192,3448,1,0,0:0:0:0:
320,192,3534,1,0,0:0:0:0:
320,192,3999,1,0,0:0:0:0:
192,192,4790,1,0,0:0:0:0:
320,192,4790,1,0,0:0:0:0:
448,192,5596,1,0,0:0:0:0:
448,192,6392,1,0,0:0:0:0:
320,192,7200,1,0,0:0:0:0:
192,192,7991,1,0,0:0:0:0:
448,192,7991,1,0,0:0:0:0:
192,192,8805,1,0,0:0:0:0:
64,192,9593,1,0,0:0:0:0:
192,192,10803,1,0,0:0:0:0:
448,192,11009,1,0,0:0:0:0:
320,192,11009,1,0,0:0:0:0:
64,192,11128,1,0,0:0:0:0:
192,192,11352,1,0,0:0:0:0:
320,192,11474,1,0,0:0:0:0:
448,192,11660,1,0,0:0:0:0:
192,192,11660,1,0,0:0:0:0:
448,192,11886,1,0,0:0:0:0:
320,192,12046,1,0,0:0:0:0:
448,192,12261,1,0,0:0:0:0:
448,192,12396,1,0,0:0:0:0:
320,192,12396,1,0,0:0:0:0:
64,192,12509,1,0,0:0:0:0:
192,192,12795,1,0,0:0:0:0:
448,192,12887,1,0,0:0:0:0:
192,192,12996,1,0,0:0:0:0:
64,192,12996,1,0,0:0:0:0:
192,192,13193,1,0,0:0:0:0:
320,192,13261,1,0,0:0:0:0:
448,192,13395,1,0,0:0:0:0:
320,192,13471,1,0,0:0:0:0:
64,192,13471,1,0,0:0:0:0:
192,192,13581,1,0,0:0:0:0:
448,192,13780,1,0,0:0:0:0:
320,192,13991,1,0,0:0:0:0:
448,192,14076,1,0,0:0:0:0:
192,192,14076,1,0,0:0:0:0:
192,192,14132,1,0,0:0:0:0:
192,192,14192,1,0,0:0:0:0:
448,192,14359,1,0,0:0:0:0:
320,192,14586,1,0,0:0:0:0:
448,192,14586,1,0,0:0:0:0:
320,192,14795,1,0,0:0:0:0:
64,192,14861,1,0,0:0:0:0:
64,192,14911,1,0,0:0:0:0:
320,192,15189,1,0,0:0:0:0:
448,192,15189,1,0,0:0:0:0:
320,192,15392,1,0,0:0:0:0:
320,192,15594,1,0,0:0:0:0:
448,192,15794,1,0,0:0:0:0:
192,192,15979,1,0,0:0:0:0:
64,192,15979,1,0,0:0:0:0:
320,192,16033,1,0,0:0:0:0:
